Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble,Return_1D,Return_5D,Return_10D,SMA_5,SMA_20,Volatility_5D,Volatility_20D,Daily_Range,Volume_Change,Next_Close,Direction
2011-06-01,RELIANCE,EQ,951.85,952.0,958.65,943.65,947.5,946.8,947.83,1838452,174253844320000.0,58630.0,901415.0,0.4903,-0.0053054577927195146,0.04503311258278142,0.04984199146199475,943.36,935.9075,0.015554918319622725,0.013412415706254463,0.015842839036755388,-0.4289125944757306,951.05,1
2011-06-02,RELIANCE,EQ,946.8,936.55,954.7,936.55,952.5,951.05,947.09,2152963,203903945755000.0,63061.0,1066759.0,0.4955,0.0044888043937474364,0.018418375542110565,0.03883123975969416,946.8,935.9625,0.009680184717092076,0.01343961975747126,0.01908417012775363,0.17107381644992636,934.6,0
2011-06-03,RELIANCE,EQ,951.05,960.5,967.0,931.5,936.0,934.6,951.69,4368279,415723779705000.0,128784.0,1035791.0,0.2371,-0.01729667209925867,-0.011476016711618797,0.012348353552859681,944.6300000000001,934.9399999999999,0.011859961786123445,0.01392275549395744,0.037984164348384336,1.0289614823849735,937.75,1
2011-06-06,RELIANCE,EQ,934.6,934.65,940.8,928.15,938.6,937.75,935.29,1405741,131477118680000.0,43384.0,476631.0,0.3390999999999999,0.003370425850631298,-0.0011716461628588082,0.031174400703760652,944.4100000000001,933.8625,0.01173033586014907,0.013902633436129968,0.013489736070381208,-0.6781934029396932,958.25,1
2011-06-07,RELIANCE,EQ,937.75,933.55,960.0,933.55,959.6,958.25,950.55,4025919,382683940405000.0,88703.0,2424958.0,0.6023,0.021860837110103892,0.006723748489783077,0.04641004641004631,945.6899999999999,934.2375,0.01437528326512186,0.014667765651725362,0.027602400208713847,1.863912342316259,949.2,0
2011-06-08,RELIANCE,EQ,958.25,955.25,955.95,943.95,951.35,949.2,948.28,3247038,307908874230000.0,68474.0,2083780.0,0.6417,-0.009444299504304698,0.0025348542458809575,0.04768211920529808,946.1699999999998,933.925,0.014966629471862124,0.0147904213925452,0.012642225031605562,-0.1934666345746151,954.0,1
2011-06-09,RELIANCE,EQ,949.2,947.5,957.85,947.0,954.6,954.0,953.65,2092020,199506345645000.0,53229.0,1117870.0,0.5343,0.005056890012642201,0.0031018348141529373,0.021577341114739967,946.76,934.35,0.015005676141640866,0.014633184361357758,0.011373165618448661,-0.3557143464289608,944.5,0
2011-06-10,RELIANCE,EQ,954.0,955.1,956.0,932.05,946.0,944.5,942.51,2530136,238467737435000.0,89198.0,1358091.0,0.5368,-0.009958071278825975,0.01059276695912681,-0.0010048125231372218,948.74,934.175,0.01303347643677156,0.014808504661904642,0.025357331921651717,0.20942247206049647,925.6,0
2011-06-13,RELIANCE,EQ,944.5,943.25,943.25,921.0,924.6,925.6,926.27,2954066,273627227060000.0,95485.0,1677508.0,0.5679,-0.020010587612493413,-0.01295654492135423,-0.014113010598072129,946.3100000000001,933.2049999999999,0.016286679896163194,0.015457986136340019,0.024038461538461536,0.16755225806043628,911.35,0
2011-06-14,RELIANCE,EQ,925.6,925.3,931.75,910.0,911.45,911.35,915.92,4335560,397102435455000.0,101037.0,2835346.0,0.654,-0.01539541918755405,-0.04894338638142448,-0.04254872091190842,936.9300000000001,932.74,0.009438360010916351,0.01473785029142106,0.023865693751028694,0.4676584747937249,900.55,0
2011-06-15,RELIANCE,EQ,911.35,912.0,918.9,898.6,900.25,900.55,906.48,4607486,417660772480000.0,137364.0,2347059.0,0.5094,-0.011850551379821272,-0.05125368731563429,-0.04884875369666242,927.2,932.675,0.009467410944038652,0.014241504278191435,0.022541780023319035,0.06271992545368987,887.55,0
